Public_MAG_ID	public_fasta_filename	original_fasta_filename	Unique_MAG_ID	genome_file	AT_BatchID	user_genome
RESPICAT_MAG_000790	RESPICAT_MAG_000790.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983361_MAG384.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983361_MAG384	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983361_MAG384.fasta	URT_B6_PRJNA917836_B2	MAG384
RESPICAT_MAG_000791	RESPICAT_MAG_000791.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983361_MAG385.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983361_MAG385	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983361_MAG385.fasta	URT_B6_PRJNA917836_B2	MAG385
RESPICAT_MAG_000792	RESPICAT_MAG_000792.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983361_MAG386.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983361_MAG386	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983361_MAG386.fasta	URT_B6_PRJNA917836_B2	MAG386
RESPICAT_MAG_000793	RESPICAT_MAG_000793.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983361_MAG387.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983361_MAG387	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983361_MAG387.fasta	URT_B6_PRJNA917836_B2	MAG387
RESPICAT_MAG_000794	RESPICAT_MAG_000794.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983364_MAG391.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983364_MAG391	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983364_MAG391.fasta	URT_B6_PRJNA917836_B2	MAG391
RESPICAT_MAG_000795	RESPICAT_MAG_000795.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983364_MAG392.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983364_MAG392	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983364_MAG392.fasta	URT_B6_PRJNA917836_B2	MAG392
RESPICAT_MAG_000796	RESPICAT_MAG_000796.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983364_MAG393.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983364_MAG393	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983364_MAG393.fasta	URT_B6_PRJNA917836_B2	MAG393
RESPICAT_MAG_000797	RESPICAT_MAG_000797.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983364_MAG395.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983364_MAG395	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983364_MAG395.fasta	URT_B6_PRJNA917836_B2	MAG395
RESPICAT_MAG_000798	RESPICAT_MAG_000798.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983365_MAG396.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983365_MAG396	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983365_MAG396.fasta	URT_B6_PRJNA917836_B2	MAG396
RESPICAT_MAG_000799	RESPICAT_MAG_000799.fna	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983369_MAG377.fasta	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983369_MAG377	RESPICAT_URT_B6_PRJNA917836_B2_SRR22983369_MAG377.fasta	URT_B6_PRJNA917836_B2	MAG377
