Public_MAG_ID	Domain	phylum	class	order	family	genus	species	no_species_assignment
RESPICAT_MAG_000628	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Stomatobaculum	NA	TRUE
RESPICAT_MAG_000629	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter_A	NA	TRUE
RESPICAT_MAG_000630	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter_A	NA	TRUE
RESPICAT_MAG_000631	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosynbacteraceae	Nanosynbacter	NA	TRUE
RESPICAT_MAG_000632	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii	FALSE
RESPICAT_MAG_000633	Bacteria	Actinomycetota	Actinomycetia	Mycobacteriales	Mycobacteriaceae	Corynebacterium	Corynebacterium pseudokroppenstedtii	FALSE
RESPICAT_MAG_000634	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanogingivalaceae	Nanogingivalis	NA	TRUE
RESPICAT_MAG_000635	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosyncoccaceae	Nanosyncoccus	NA	TRUE
RESPICAT_MAG_000636	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosyncoccaceae	Nanosyncoccus	NA	TRUE
RESPICAT_MAG_000637	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema_D	NA	TRUE
RESPICAT_MAG_000638	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosyncoccaceae	Nanosyncoccus	NA	TRUE
RESPICAT_MAG_000639	Bacteria	Patescibacteria	JAEDAM01	Absconditabacterales	Absconditicoccaceae	HOT-345	NA	TRUE
RESPICAT_MAG_000640	Bacteria	Bacillota_C	Negativicutes	Veillonellales	Dialisteraceae	Allisonella	Allisonella pneumosinta	FALSE
RESPICAT_MAG_000641	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanoperiomorbaceae	Nanoperiomorbus	NA	TRUE
RESPICAT_MAG_000642	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	NA	TRUE
RESPICAT_MAG_000643	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Prevotella	Prevotella oralis	FALSE
RESPICAT_MAG_000644	Bacteria	Bacillota_C	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	NA	TRUE
RESPICAT_MAG_000645	Bacteria	Spirochaetota	Spirochaetia	Treponematales	Treponemataceae	Treponema_C	Treponema_C maltophilum	FALSE
RESPICAT_MAG_000646	Bacteria	Bacillota_A	Clostridia	Peptostreptococcales	Filifactoraceae	Peptoanaerobacter	Peptoanaerobacter stomatis	FALSE
RESPICAT_MAG_000647	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga sp905372595	FALSE
RESPICAT_MAG_000648	Bacteria	Patescibacteria	JAEDAM01	Absconditabacterales	Absconditicoccaceae	HOT-345	NA	TRUE
RESPICAT_MAG_000649	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus lactarius	FALSE
RESPICAT_MAG_000650	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Granulicatella	NA	TRUE
RESPICAT_MAG_000651	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas pasteri	FALSE
RESPICAT_MAG_000652	Bacteria	Bacillota	Bacilli	Erysipelotrichales	Erysipelotrichaceae	Bulleidia	NA	TRUE
RESPICAT_MAG_000653	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Pasteurellaceae	Aggregatibacter	Aggregatibacter kilianii	FALSE
RESPICAT_MAG_000654	Bacteria	Bacillota	Bacilli	Staphylococcales	Gemellaceae	Gemella	NA	TRUE
RESPICAT_MAG_000655	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanogingivalaceae	Nanogingivalis	NA	TRUE
RESPICAT_MAG_000656	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter_B	NA	TRUE
RESPICAT_MAG_000657	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanogingivalaceae	Nanogingivalis	NA	TRUE
RESPICAT_MAG_000658	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Nanosynbacteraceae	Nanosynbacter	NA	TRUE
RESPICAT_MAG_000659	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas sp927910985	FALSE
RESPICAT_MAG_000660	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoanaerobaculum	Lachnoanaerobaculum orale	FALSE
RESPICAT_MAG_000661	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Granulicatella	NA	TRUE
RESPICAT_MAG_000662	Bacteria	Pseudomonadota	Gammaproteobacteria	Burkholderiales	Burkholderiaceae_B	Ottowia	Ottowia sp001262075	FALSE
RESPICAT_MAG_000663	Bacteria	Actinomycetota	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Arachnia	Arachnia propionica	FALSE
RESPICAT_MAG_000664	Bacteria	Bacillota	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Abiotrophia defectiva	FALSE
RESPICAT_MAG_000665	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Saccharimonas	NA	TRUE
RESPICAT_MAG_000666	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales_A	Pasteurellaceae	Aggregatibacter	Aggregatibacter aphrophilus	FALSE
RESPICAT_MAG_000667	Bacteria	Patescibacteria	Saccharimonadia	Saccharimonadales	Saccharimonadaceae	Saccharimonas	NA	TRUE
RESPICAT_MAG_000668	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter_A	NA	TRUE
RESPICAT_MAG_000669	Bacteria	Bacillota_C	Negativicutes	Selenomonadales	Selenomonadaceae	Centipeda	Centipeda sp000468035	FALSE
RESPICAT_MAG_000670	Bacteria	Campylobacterota	Campylobacteria	Campylobacterales	Campylobacteraceae	Campylobacter_A	NA	TRUE
